id,country,date,value
EUU,European Union,1990-01-01,
WLD,World,1990-01-01,
GBR,United Kingdom,1990-01-01,16.4860360938355
EUU,European Union,1991-01-01,19.6892370585698
WLD,World,1991-01-01,
GBR,United Kingdom,1991-01-01,16.0863945021807
EUU,European Union,1992-01-01,18.9714399282099
WLD,World,1992-01-01,
GBR,United Kingdom,1992-01-01,15.870870613089
EUU,European Union,1993-01-01,18.0873888088329
WLD,World,1993-01-01,
GBR,United Kingdom,1993-01-01,15.5106709582979
EUU,European Union,1994-01-01,17.9374272964629
WLD,World,1994-01-01,
GBR,United Kingdom,1994-01-01,16.2247406051562
EUU,European Union,1995-01-01,17.9492320794957
WLD,World,1995-01-01,
GBR,United Kingdom,1995-01-01,15.3378842395037
EUU,European Union,1996-01-01,17.575646314346
WLD,World,1996-01-01,
GBR,United Kingdom,1996-01-01,15.1353911513605
EUU,European Union,1997-01-01,17.6492045133396
WLD,World,1997-01-01,18.9916455155998
GBR,United Kingdom,1997-01-01,14.9484217095568
EUU,European Union,1998-01-01,17.6606419129642
WLD,World,1998-01-01,18.6122726762938
GBR,United Kingdom,1998-01-01,14.3906716167535
EUU,European Union,1999-01-01,17.3098528317042
WLD,World,1999-01-01,18.4281717581577
GBR,United Kingdom,1999-01-01,13.7917350428661
EUU,European Union,2000-01-01,17.4230438903847
WLD,World,2000-01-01,18.2657491745204
GBR,United Kingdom,2000-01-01,13.2766508714043
EUU,European Union,2001-01-01,17.0997044840282
WLD,World,2001-01-01,17.1874902897716
GBR,United Kingdom,2001-01-01,12.4763662221292
EUU,European Union,2002-01-01,16.6193904041101
WLD,World,2002-01-01,16.742130997868
GBR,United Kingdom,2002-01-01,12.1152656577466
EUU,European Union,2003-01-01,16.2067123655085
WLD,World,2003-01-01,16.5744009117948
GBR,United Kingdom,2003-01-01,11.5623514901449
EUU,European Union,2004-01-01,16.0235635828976
WLD,World,2004-01-01,16.4397057228363
GBR,United Kingdom,2004-01-01,10.9499431816893
EUU,European Union,2005-01-01,15.7425016641194
WLD,World,2005-01-01,16.2335823304244
GBR,United Kingdom,2005-01-01,10.5141808859202
EUU,European Union,2006-01-01,15.6920785910621
WLD,World,2006-01-01,16.1957328269514
GBR,United Kingdom,2006-01-01,10.076030645948
EUU,European Union,2007-01-01,15.7395923245545
WLD,World,2007-01-01,16.1654812092885
GBR,United Kingdom,2007-01-01,9.67204592405853
EUU,European Union,2008-01-01,15.1672143001752
WLD,World,2008-01-01,15.9138181040747
GBR,United Kingdom,2008-01-01,9.59105170682731
EUU,European Union,2009-01-01,13.7556428554315
WLD,World,2009-01-01,15.3504263495307
GBR,United Kingdom,2009-01-01,9.0719795041587
EUU,European Union,2010-01-01,14.3884691268313
WLD,World,2010-01-01,15.8634947917846
GBR,United Kingdom,2010-01-01,9.4452591863619
EUU,European Union,2011-01-01,14.7071082001807
WLD,World,2011-01-01,15.937594427475
GBR,United Kingdom,2011-01-01,9.32941976073476
EUU,European Union,2012-01-01,14.5000896033407
WLD,World,2012-01-01,15.9209572531403
GBR,United Kingdom,2012-01-01,9.34630320677592
EUU,European Union,2013-01-01,14.3556469917343
WLD,World,2013-01-01,15.7678262014539
GBR,United Kingdom,2013-01-01,9.59367584672618
EUU,European Union,2014-01-01,14.6045442157393
WLD,World,2014-01-01,15.9023111193915
GBR,United Kingdom,2014-01-01,9.41066751713007
EUU,European Union,2015-01-01,15.1961836928359
WLD,World,2015-01-01,16.3726082026155
GBR,United Kingdom,2015-01-01,9.29473281602295
EUU,European Union,2016-01-01,15.2645715396868
WLD,World,2016-01-01,16.1872581219137
GBR,United Kingdom,2016-01-01,9.1098062154651
EUU,European Union,2017-01-01,15.2134110624893
WLD,World,2017-01-01,16.252183991271
GBR,United Kingdom,2017-01-01,9.05419590661528
EUU,European Union,2018-01-01,15.092138060784
WLD,World,2018-01-01,16.3647023407835
GBR,United Kingdom,2018-01-01,8.95235988968101
EUU,European Union,2019-01-01,14.8808624774967
WLD,World,2019-01-01,15.9575271548334
GBR,United Kingdom,2019-01-01,8.79681958314551
EUU,European Union,2020-01-01,14.5678614883276
WLD,World,2020-01-01,15.9457064247085
GBR,United Kingdom,2020-01-01,8.99725503283597
EUU,European Union,2021-01-01,14.7865947429975
WLD,World,2021-01-01,16.4618467982841
GBR,United Kingdom,2021-01-01,8.64632011901637
EUU,European Union,2022-01-01,14.8638056700611
WLD,World,2022-01-01,15.7624476881759
GBR,United Kingdom,2022-01-01,8.10840443503634
EUU,European Union,2023-01-01,14.6702359889587
WLD,World,2023-01-01,15.2365532696969
GBR,United Kingdom,2023-01-01,8.27542647523243
