state,region
WA,West
OR,West
CA,West
NV,West
ID,West
MT,West
WY,West
UT,West
CO,West
HI,West
AK,West
AZ,Southwest
NM,Southwest
TX,Southwest
OK,Southwest
ND,Midwest
SD,Midwest
NE,Midwest
KS,Midwest
MN,Midwest
IA,Midwest
MO,Midwest
WI,Midwest
IL,Midwest
IN,Midwest
MI,Midwest
OH,Midwest
AR,Southeast
LA,Southeast
MS,Southeast
AL,Southeast
TN,Southeast
KY,Southeast
FL,Southeast
GA,Southeast
SC,Southeast
NC,Southeast
VA,Southeast
WV,Southeast
ME,Northest
NH,Northest
VT,Northest
MA,Northest
RI,Northest
CT,Northest
NY,Northest
NJ,Northest
PA,Northest
DE,Northest
MD,Northest
DC,Northest
