name,2020,2021,2022,2023,2024,change,total_change,id,abbr
Alabama,5033094,5049196,5076181,5117673,5157699,0.02475713745858909,124605,1,AL
Alaska,733017,734420,734442,736510,740133,0.009707823965883464,7116,2,AK
Arizona,7187135,7274078,7377566,7473027,7582384,0.05499395795403871,395249,4,AZ
Arkansas,3014546,3026870,3047704,3069463,3088354,0.024483952144037608,73808,5,AR
California,39521958,39142565,39142414,39198693,39431263,-0.0022948002728002495,-90695,6,CA
Colorado,5787129,5814036,5850935,5901339,5957493,0.029438431387999127,170364,8,CO
Connecticut,3579918,3606607,3617925,3643023,3675069,0.026579100415149173,95151,9,CT
Delaware,991928,1005062,1020625,1036423,1051917,0.060477171730206225,59989,10,DE
Florida,21592035,21831949,22379312,22904868,23372215,0.08244614275588197,1780180,12,FL
Georgia,10732888,10792060,10931805,11064432,11180878,0.04173993057600154,447990,13,GA
Hawaii,1451252,1447029,1440359,1441387,1446146,-0.0035183414045251962,-5106,15,HI
Idaho,1849415,1904848,1944299,1971122,2001619,0.08229845653895962,152204,16,ID
Illinois,12799088,12700641,12621821,12642259,12710158,-0.006948151305780537,-88930,17,IL
Indiana,6790497,6815907,6844545,6880131,6924275,0.019700767116162483,133778,18,IN
Iowa,3191141,3198613,3202820,3218414,3241488,0.015777115458075967,50347,19,IA
Kansas,2938172,2938338,2937324,2951500,2970606,0.011038836392151311,32434,20,KS
Kentucky,4508318,4507583,4519233,4550595,4588372,0.01775695503289697,80054,21,KY
Louisiana,4652301,4627971,4593687,4588071,4597740,-0.011727745044871344,-54561,22,LA
Maine,1364571,1378931,1390922,1399646,1405012,0.02963642053070159,40441,23,ME
Maryland,6177935,6179403,6192440,6217062,6263220,0.013804774572733446,85285,24,MD
Massachusetts,6994598,7000474,7022468,7066568,7136171,0.020240334040641076,141573,25,MA
Michigan,10072703,10041351,10050877,10083356,10140459,0.006726694909995857,67756,26,MI
Minnesota,5710735,5718660,5721621,5753048,5793151,0.01443176753955489,82416,27,MN
Mississippi,2958536,2947209,2941939,2943172,2943045,-0.005236035660880922,-15491,28,MS
Missouri,6154744,6171374,6179414,6208038,6245466,0.014740174408553791,90722,29,MO
Montana,1087230,1106522,1122095,1131302,1137233,0.04599118861694398,50003,30,MT
Nebraska,1963387,1964537,1972246,1987864,2005465,0.02143133269192472,42078,31,NE
Nevada,3116967,3148141,3176116,3214363,3267467,0.04828411722036197,150500,32,NV
New Hampshire,1378756,1387677,1396678,1402199,1409032,0.021958925292074886,30276,33,NH
New Jersey,9272794,9270541,9295227,9379642,9500851,0.02459420537111037,228057,34,NJ
New Mexico,2118606,2117333,2113868,2121164,2130256,0.005498898804213714,11650,35,NM
New York,20105171,19848276,19703747,19737367,19867248,-0.011833920736113113,-237923,36,NY
North Carolina,10449652,10564320,10710793,10881189,11046024,0.05707099145502644,596372,37,NC
North Dakota,779563,777966,781057,789047,796568,0.02181350320628352,17005,38,ND
Ohio,11798905,11767344,11777874,11824034,11883304,0.007153121412537858,84399,39,OH
Oklahoma,3965415,3992238,4026229,4063882,4095393,0.032777905969488694,129978,40,OK
Oregon,4243779,4254280,4247372,4253653,4272371,0.006737391367458108,28592,41,OR
Pennsylvania,12996143,13015571,12984990,13017721,13078751,0.006356347417845433,82608,42,PA
Rhode Island,1096530,1097246,1099498,1103429,1112308,0.014389027203998067,15778,44,RI
South Carolina,5132249,5194274,5287935,5387830,5478831,0.06753023869262774,346582,45,SC
South Dakota,887948,896492,909723,918305,924669,0.04135489916076167,36721,46,SD
Tennessee,6927904,6965740,7062217,7148304,7227750,0.04328091151378541,299846,47,TN
Texas,29239570,29570351,30113488,30727890,31290831,0.07015359665001913,2051261,48,TX
Utah,3284077,3339738,3391011,3443222,3503613,0.06684861530347797,219536,49,UT
Vermont,642977,647210,648142,648708,648493,0.008578844966460698,5516,50,VT
Virginia,8637615,8658910,8683414,8734685,8811195,0.02009582506282116,173580,51,VA
Washington,7727209,7743760,7794123,7857320,7958180,0.029890611215511318,230971,53,WA
West Virginia,1791646,1785618,1774122,1770495,1769979,-0.012093348797697759,-21667,54,WV
Wisconsin,5897375,5881608,5903975,5930405,5960975,0.010784459187350303,63600,55,WI
Wyoming,577681,579636,581978,585067,587618,0.017201535103283646,9937,56,WY
