id,category,value
1997,spirits,2751
1998,spirits,2741
1999,spirits,2911
2000,spirits,2925
2001,spirits,2925
2002,spirits,2922
2003,spirits,3157
2004,spirits,3079
2005,spirits,3230
2006,spirits,3169
2007,spirits,3346
2008,spirits,3505
2009,spirits,3526
2010,spirits,3739
2011,spirits,4405
2012,spirits,4728
2013,spirits,5246
2014,spirits,5015
2015,spirits,5237
2016,spirits,5263
2017,spirits,5694
2018,spirits,6225
2019,spirits,6230
2020,spirits,7683
2021,spirits,7646
2022,spirits,7070
2023,spirits,7003
1997,tobacco,12471
1998,tobacco,13261
1999,tobacco,14078
2000,tobacco,14139
2001,tobacco,14201
2002,tobacco,14215
2003,tobacco,15342
2004,tobacco,15458
2005,tobacco,15652
2006,tobacco,15509
2007,tobacco,15448
2008,tobacco,16332
2009,tobacco,16905
2010,tobacco,17633
2011,tobacco,18599
2012,tobacco,18967
2013,tobacco,18902
2014,tobacco,19054
2015,tobacco,18151
2016,tobacco,18015
2017,tobacco,18091
2018,tobacco,18546
2019,tobacco,18106
2020,tobacco,19683
2021,tobacco,20173
2022,tobacco,20207
2023,tobacco,21044
